timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-06-28,415.5250,456.1700,408.9234,446.9500,446.9500,342370406,0.0000
2024-05-31,392.6100,433.6000,390.3100,415.1300,415.1300,413810421,0.7500
2024-04-30,423.9500,429.3700,388.0300,389.3300,388.6411,440119511,0.0000
2024-03-28,411.2700,430.8200,398.3900,420.7200,419.9755,425101681,0.0000
2024-02-29,401.8300,420.8200,397.2200,413.6400,412.9080,444203455,0.7500
2024-01-31,373.8600,415.3200,366.5000,397.5800,396.1509,525975837,0.0000
2023-12-29,376.7600,378.1600,362.9000,376.0400,374.6883,521914675,0.0000
2023-11-30,339.7900,384.3000,339.6500,378.9100,377.5480,564165364,0.7500
2023-10-31,316.2800,346.2000,311.2150,338.1100,336.2125,540963749,0.0000
2023-09-29,331.3100,340.8600,309.4500,315.7500,313.9780,416768824,0.0000
2023-08-31,335.1900,338.5400,311.5508,327.7600,325.9206,479669427,0.6800
2023-07-31,339.1900,366.7800,327.0000,335.9200,333.3274,666956355,0.0000
2023-06-30,325.9300,351.4700,322.5000,340.5400,337.9117,547748450,0.0000
2023-05-31,306.9700,335.9400,303.4000,328.3900,325.8555,600453246,0.6800
2023-04-28,286.5200,308.9300,275.3700,307.2600,304.2297,551356990,0.0000
2023-03-31,250.7600,289.2700,245.6100,288.3000,285.4567,747751976,0.0000
2023-02-28,248.0000,276.7600,245.4700,249.4200,246.9602,615540778,0.6800
2023-01-31,243.0800,249.8300,219.3500,247.8100,244.7481,666168068,0.0000
2022-12-30,253.8700,263.9150,233.8700,239.8200,236.8568,591366468,0.0000
2022-11-30,234.6000,255.3300,213.4310,255.1400,251.9875,615328220,0.6800
2022-10-31,235.4100,251.0400,219.1300,232.1300,228.6187,671366804,0.0000
2022-09-30,258.8700,267.4500,232.7300,232.9000,229.3771,575416752,0.0000
2022-08-31,277.8200,294.1800,260.6600,261.4700,257.5149,476959033,0.6200
2022-07-29,256.3900,282.0000,245.9400,280.7400,275.9062,534986150,0.0000
2022-06-30,275.1950,277.6900,241.5100,256.8300,252.4079,621501474,0.0000
2022-05-31,277.7100,290.8800,246.4400,271.8700,267.1889,742766114,0.6200
2022-04-29,309.3700,315.1100,270.0000,277.5200,272.0777,622644983,0.0000
