timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-07-01,504.9500,506.5800,493.1700,504.6800,504.6800,10328150,0.0000
2024-06-28,470.8600,522.8799,468.2400,504.2200,504.2200,226951165,0.5000
2024-05-31,428.6000,482.4999,427.1100,466.8300,466.3675,282486703,0.0000
2024-04-30,487.2000,531.4899,414.5000,430.1700,429.7438,436147995,0.0000
2024-03-28,492.1100,523.5700,476.0000,485.5800,485.0989,278473986,0.0000
2024-02-29,393.9400,494.3599,393.0500,490.1300,489.6444,466261632,0.5000
2024-01-31,351.3200,406.3600,340.0100,390.1400,389.3375,347229642,0.0000
2023-12-29,325.4800,361.9000,313.6600,353.9600,353.2319,334028198,0.0000
2023-11-30,301.8500,342.9200,301.8500,327.1500,326.4771,329354280,0.0000
2023-10-31,302.7400,330.5400,279.4030,301.2700,300.6503,511372074,0.0000
2023-09-29,299.3700,312.8700,286.7900,300.2100,299.5925,406801410,0.0000
2023-08-31,317.5350,324.1400,274.3800,295.8900,295.2814,424632813,0.0000
2023-07-31,286.7000,326.2000,284.8499,318.6000,317.9447,625339455,0.0000
2023-06-30,265.9000,289.7900,258.8800,286.9800,286.3897,481179600,0.0000
2023-05-31,238.6150,268.6500,229.8500,264.7200,264.1755,487059059,0.0000
2023-04-28,208.8400,241.6850,207.1300,240.3200,239.8257,439810216,0.0000
2023-03-31,174.5900,212.1700,171.4300,211.9400,211.5041,690450690,0.0000
2023-02-28,148.0300,197.1600,147.0600,174.9400,174.5802,772199855,0.0000
2023-01-31,122.8200,153.1900,122.2800,148.9700,148.6636,548770812,0.0000
2022-12-30,119.1980,124.6700,112.4600,120.3400,120.0925,653019661,0.0000
2022-11-30,94.3300,118.7400,88.0900,118.1000,117.8571,1063814422,0.0000
2022-10-31,137.1400,142.3901,92.6000,93.1600,92.9684,1114165581,0.0000
2022-09-30,163.5800,171.3900,134.1201,135.6800,135.4009,634744508,0.0000
2022-08-31,157.2500,183.1000,155.2301,162.9300,162.5949,551637733,0.0000
2022-07-29,160.3100,183.8500,154.8500,159.1000,158.7728,586548218,0.0000
2022-06-30,196.5100,202.0300,154.2500,161.2500,160.9183,686376324,0.0000
2022-05-31,201.1650,224.3000,176.1100,193.6400,193.2417,680370106,0.0000
2022-04-29,224.5500,236.8600,169.0000,200.4700,200.0577,671047219,0.0000
2022-03-31,209.8700,231.1510,185.8200,222.3600,221.9026,730939429,0.0000
2022-02-28,314.5550,328.0000,190.2200,211.0300,210.5959,1127891130,0.0000
2022-01-31,338.2950,343.0854,289.0100,313.2600,312.6157,426742200,0.0000
2021-12-31,330.2900,352.7100,299.5000,336.3500,335.6582,437947523,0.0000
2021-11-30,326.0400,353.8300,323.2000,324.4600,323.7926,440274313,0.0000
2021-10-29,341.6100,345.0200,308.1100,323.5700,322.9045,588382461,0.0000
2021-09-30,379.5900,384.3300,338.1500,339.3900,338.6919,338133948,0.0000
2021-08-31,358.1000,382.7590,347.7000,379.3800,378.5997,226135690,0.0000
2021-07-30,346.8200,377.5499,334.5000,356.3000,355.5671,334221334,0.0000
2021-06-30,330.1500,358.1400,323.4800,347.7100,346.9948,344609593,0.0000
2021-05-28,326.1700,333.7800,298.1900,328.7300,328.0538,353419284,0.0000
2021-04-30,298.4000,331.8100,296.0400,325.0800,324.4114,421280404,0.0000
2021-03-31,260.8200,299.7050,253.5000,294.5300,293.9242,497455263,0.0000
2021-02-26,259.5200,276.6000,254.0400,257.6200,257.0901,315517591,0.0000
2021-01-29,274.7800,286.7900,244.6100,258.3300,257.7986,452021869,0.0000
2020-12-31,279.1600,291.7800,264.6300,273.1600,272.5981,363610072,0.0000
2020-11-30,264.6000,297.3800,257.3400,276.9700,276.4003,356724889,0.0000
2020-10-30,265.3500,285.2400,254.8200,263.1100,262.5688,454176190,0.0000
2020-09-30,294.7100,303.6000,244.1300,261.9000,261.3613,499179596,0.0000
2020-08-31,252.6500,304.6700,247.4300,293.2000,292.5969,574266263,0.0000
2020-07-31,228.5000,255.8500,226.9000,253.6700,253.1482,516844579,0.0000
2020-06-30,224.5900,245.1900,207.1100,227.0700,226.6029,548043739,0.0000
2020-05-29,201.6000,240.9000,198.7600,225.0900,224.6270,509432028,0.0000
2020-04-30,161.6200,209.6900,150.8300,204.7100,204.2889,541538950,0.0000
2020-03-31,194.0300,197.2400,137.1000,166.8000,166.4569,649513169,0.0000
2020-02-28,203.4400,218.7700,181.8200,192.4700,192.0741,317634511,0.0000
2020-01-31,206.7500,224.2000,201.0600,201.9100,201.4947,347787838,0.0000
2019-12-31,202.1300,208.9300,193.1700,205.2500,204.8278,278225688,0.0000
2019-11-29,192.8500,203.8000,188.5400,201.6400,201.2253,258577372,0.0000
2019-10-31,179.1500,198.0900,173.0900,191.6500,191.2558,329115789,0.0000
