timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-07-01,183.0300,183.8800,181.3000,182.9900,182.9900,16006128,0.0000
2024-06-28,172.5400,186.0500,171.1600,182.1500,182.1500,461090319,0.2000
2024-05-31,164.3000,178.7700,163.0500,172.5000,172.3031,542413794,0.0000
2024-04-30,150.6900,174.7100,149.6000,162.7800,162.5942,657659985,0.0000
2024-03-28,138.4300,152.2560,130.6650,150.9300,150.7577,671379553,0.0000
2024-02-29,142.1200,149.4400,135.4100,138.4600,138.3019,647506998,0.0000
2024-01-31,138.5500,153.7800,135.1500,140.1000,139.9401,580941276,0.0000
2023-12-29,131.8600,142.6800,127.9000,139.6900,139.5305,619214883,0.0000
2023-11-30,124.0700,139.4200,123.7150,132.5300,132.3787,535336827,0.0000
2023-10-31,131.2100,141.2200,120.2057,124.0800,123.9384,680762930,0.0000
2023-09-29,137.4550,139.1600,127.2200,130.8600,130.7106,477625238,0.0000
2023-08-31,130.7750,138.0000,126.3824,136.1700,136.0146,593521002,0.0000
2023-07-31,119.2400,133.7400,115.3500,132.7200,132.5685,707114432,0.0000
2023-06-30,122.8150,129.0400,116.1000,119.7000,119.5634,656884438,0.0000
2023-05-31,106.8400,126.4300,103.7100,122.8700,122.7297,820529683,0.0000
2023-04-28,102.3900,109.1700,101.9300,107.3400,107.2175,603728992,0.0000
2023-03-31,89.9800,106.5900,89.4200,103.7300,103.6116,860049034,0.0000
2023-02-28,98.7100,108.1800,88.5750,90.0600,89.9572,952709694,0.0000
2023-01-31,89.5850,100.3200,84.8600,98.8400,98.7272,672897542,0.0000
2022-12-30,101.0200,102.2500,85.9400,88.2300,88.1293,602717061,0.0000
2022-11-30,95.4500,101.0400,83.3400,100.9900,100.8747,716537649,0.0000
2022-10-31,96.7600,104.8200,91.8000,94.5100,94.4021,681653109,0.0000
2022-09-30,108.2800,111.6200,95.5600,95.6500,95.5408,612908183,0.0000
2022-08-31,115.3000,122.4300,107.8000,108.2200,108.0965,515791070,0.0000
2022-07-29,2158.6600,2393.7000,104.0700,116.3200,116.1872,428144985,0.0000
2022-06-30,2297.1000,2386.9400,2100.9200,2179.2600,108.8386,38543689,0.0000
2022-05-31,2268.1000,2457.0900,2037.6936,2275.2400,113.6321,42514648,0.0000
2022-04-29,2790.0000,2874.2400,2254.7301,2282.1900,113.9792,37720682,0.0000
2022-03-31,2697.5700,2875.8700,2505.5000,2781.3500,138.9088,36383218,0.0000
2022-02-28,2751.8900,3030.9315,2499.0650,2701.1400,134.9028,46381207,0.0000
2022-01-31,2901.1000,2929.6978,2490.0000,2706.0700,135.1491,38092594,0.0000
2021-12-31,2880.0000,2982.0000,2786.4200,2897.0400,144.6867,30992881,0.0000
2021-11-30,2960.9200,3019.3300,2832.0300,2837.9500,141.7355,30278875,0.0000
2021-10-29,2688.9500,2973.0000,2621.0000,2960.9200,147.8770,36040000,0.0000
2021-09-30,2900.0000,2925.0750,2671.1200,2673.5200,133.5234,29545719,0.0000
2021-08-31,2702.3400,2919.4100,2666.3900,2893.9500,144.5323,23041294,0.0000
2021-07-30,2434.5000,2765.9400,2430.6300,2694.5300,134.5727,30452492,0.0000
2021-06-30,2374.4400,2461.9100,2329.5200,2441.7900,121.9501,27241174,0.0000
2021-05-28,2364.9100,2389.0500,2193.6200,2356.8500,117.7080,30175239,0.0000
2021-04-30,2092.2500,2431.3800,2091.4300,2353.5000,117.5407,35119920,0.0000
2021-03-31,2048.0000,2113.7400,1994.0000,2062.5200,103.0083,37837953,0.0000
2021-02-26,1844.5850,2145.1400,1844.5850,2021.9100,100.9801,33609952,0.0000
2021-01-29,1760.0000,1932.0800,1696.1014,1827.3600,91.2637,39569373,0.0000
2020-12-31,1766.6550,1843.8300,1694.0000,1752.6400,87.5320,30424255,0.0000
2020-11-30,1623.5400,1816.8900,1612.1080,1754.4000,87.6199,31560329,0.0000
2020-10-30,1483.6608,1681.3150,1433.2300,1616.1100,80.7133,42753029,0.0000
2020-09-30,1632.1600,1726.1022,1402.1500,1465.6000,73.1964,41834280,0.0000
2020-08-31,1491.0000,1652.7900,1464.0300,1629.5300,81.3835,30731651,0.0000
2020-07-31,1419.1700,1587.0500,1414.1800,1487.9500,74.3126,41090608,0.0000
2020-06-30,1425.7000,1475.7900,1351.6500,1418.0500,70.8216,40715938,0.0000
2020-05-29,1324.0900,1445.1100,1296.0100,1433.5200,71.5942,36255952,0.0000
2020-04-30,1124.0000,1360.1500,1075.0800,1346.7000,67.2581,56214524,0.0000
2020-03-31,1351.3900,1408.1900,1008.8700,1161.9500,58.0312,78534591,0.0000
