timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-06-28,178.1300,203.2000,167.4100,197.8800,197.8800,1407037303,0.0000
2024-05-31,182.0000,187.5600,167.7500,178.0800,178.0800,1668285761,0.0000
2024-04-30,176.1700,198.8700,138.8025,183.2800,183.2800,2469782990,0.0000
2024-03-28,200.5200,204.5200,160.5100,175.7900,175.7900,1896180214,0.0000
2024-02-29,188.5000,205.6000,175.0100,201.8800,201.8800,2020188307,0.0000
2024-01-31,250.0800,251.2500,180.0600,187.2900,187.2900,2333525855,0.0000
2023-12-29,233.1400,265.1300,228.2000,248.4800,248.4800,2293889902,0.0000
2023-11-30,204.0400,252.7500,197.8500,240.0800,240.0800,2652010569,0.0000
2023-10-31,244.8100,268.9400,194.0700,200.8400,200.8400,2591243998,0.0000
2023-09-29,257.2600,278.9800,234.5800,250.2200,250.2200,2440633653,0.0000
2023-08-31,266.2600,266.4700,212.3600,258.0800,258.0800,2503253508,0.0000
2023-07-31,276.4900,299.2900,254.1200,267.4300,267.4300,2394275082,0.0000
2023-06-30,202.5900,276.9900,199.3700,261.7700,261.7700,3443091887,0.0000
2023-05-31,163.1700,204.4800,158.8300,203.9300,203.9300,2681250964,0.0000
2023-04-28,199.9100,202.6897,152.3700,164.3100,164.3100,2503574179,0.0000
2023-03-31,206.2100,207.7900,163.9100,207.4600,207.4600,3312555115,0.0000
2023-02-28,173.8900,217.6500,169.9300,205.7100,205.7100,3625947459,0.0000
2023-01-31,118.4700,180.6800,101.8100,173.2200,173.2200,3897499392,0.0000
2022-12-30,197.0800,198.9200,108.2400,123.1800,123.1800,2944247785,0.0000
2022-11-30,234.0500,237.3951,166.1850,194.7000,194.7000,1885408367,0.0000
2022-10-31,254.5000,257.5000,198.5863,227.5400,227.5400,1735577735,0.0000
2022-09-30,272.5750,313.8000,262.4700,265.2500,265.2500,1298711227,0.0000
2022-08-31,903.8250,944.0000,271.8100,275.6100,275.6100,734431591,0.0000
2022-07-29,681.0000,894.9600,648.5001,891.4500,297.1500,581783311,0.0000
2022-06-30,755.1600,792.6300,626.0800,673.4200,224.4733,670825779,0.0000
2022-05-31,860.7700,955.5000,620.5700,758.2600,252.7533,649232242,0.0000
2022-04-29,1081.1500,1152.8700,821.7000,870.7600,290.2533,503896960,0.0000
2022-03-31,869.6800,1114.7700,756.0400,1077.6000,359.2000,575182495,0.0000
2022-02-28,935.2100,947.7700,700.0000,870.4300,290.1433,463455422,0.0000
2022-01-31,1147.7500,1208.0000,792.0100,936.7200,312.2400,638395647,0.0000
2021-12-31,1160.6950,1172.8399,886.1200,1056.7800,352.2600,510209746,0.0000
2021-11-30,1145.0000,1243.4900,978.6000,1144.7600,381.5867,646639435,0.0000
2021-10-29,778.4000,1115.2100,763.5900,1114.0000,371.3333,528934537,0.0000
