timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-07-01,6.0300,6.1200,5.7700,5.8000,5.8000,7940280,0.0000
2024-06-28,5.7700,6.1000,5.3700,6.0900,6.0900,190630396,0.0000
2024-05-31,5.6300,6.6000,4.9300,5.5900,5.5900,240410060,0.0000
2024-04-30,7.4850,7.5800,5.5650,5.6800,5.6800,306924377,0.0000
2024-03-28,6.4800,7.5500,6.2812,7.4200,7.4200,250603685,0.0000
2024-02-29,5.3800,7.5400,5.2200,6.4800,6.4800,346776815,0.0000
2024-01-31,5.4900,5.8300,4.5300,5.3100,5.3100,483316455,0.0000
2023-12-29,4.4000,5.9400,4.3800,5.5500,5.5500,313829500,0.0000
2023-11-30,3.7000,4.6700,3.6500,4.4200,4.4200,316498352,0.0000
2023-10-31,4.5800,4.7900,3.4200,3.7600,3.7600,336753243,0.0000
2023-09-29,5.9400,6.1000,4.3400,4.6000,4.6000,407766941,0.0000
2023-08-31,7.2300,7.3200,5.8900,5.9200,5.9200,377645194,0.0000
2023-07-31,8.8800,9.4500,7.5300,7.7700,7.7700,311185621,0.0000
2023-06-30,6.8300,8.9500,6.7682,8.8600,8.8600,264751092,0.0000
2023-05-31,7.0400,7.2700,6.6800,6.8300,6.8300,206258828,0.0000
2023-04-28,7.1400,7.3000,6.7000,7.1400,7.1400,170506166,0.0000
2023-03-31,8.3050,8.6700,6.4550,7.2800,7.2800,192306163,0.0000
2023-02-28,7.9500,9.3500,7.8700,8.3000,8.3000,149687593,0.0000
2023-01-31,6.6400,8.8200,6.4000,8.0000,8.0000,193969250,0.0000
2022-12-30,7.9200,8.0700,6.1800,6.4800,6.4800,207842338,0.0000
2022-11-30,8.1700,8.3456,7.3200,7.9600,7.9600,189711393,0.0000
2022-10-31,6.6700,8.0500,6.2146,8.0400,8.0400,267641655,0.0000
2022-09-30,7.7500,8.5400,6.5200,6.6300,6.6300,270552222,0.0000
2022-08-31,8.4500,9.3450,7.7900,7.7900,7.7900,249574199,0.0000
2022-07-29,8.4300,8.9400,7.8700,8.4200,8.4200,202748067,0.0000
